ticker,company_name,sector_raw
IML,Imperial  Limited,INV. BANKS / INV. COS. / SECURITIES COS.
IMS,Intermarket Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
IMSL,Imperial Sugar Limited,SUGAR & ALLIED INDUSTRIES
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER
INIL,International Industries Limited,ENGINEERING
INKL,International Knitwear Limited,APPAREL
INL,,INV. BANKS / INV. COS. / SECURITIES COS.
IPAK,International Packaging Films Limited,"PAPER, BOARD & PACKAGING"
IREIT,Image Reit,REAL ESTATE INVESTMENT TRUST
ISHT,Ishtiaq Textile Mills Limited,TEXTILE SPINNING
ISIL,Ismail Industries Limited,FOOD & PERSONAL CARE PRODUCTS
ISL,International Steels Limited,ENGINEERING
ISTM,Ishaq Textile Mills Limited,TEXTILE COMPOSITE
ITANZ,Itanz Technologies Limited,TECHNOLOGY & COMMUNICATION
ITSL,Investec Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
ITTEFAQ,Ittefaq Iron Industries Limited,ENGINEERING
JATM,J.A. Textile Mills Limited,TEXTILE SPINNING
JDMT,Janana De Malucho Textile Mills Limited,TEXTILE SPINNING
JDWS,JDW Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
JGICL,Jubilee General Insurance Company Ltd.,INSURANCE
JKSM,J.K. Spinning Mills Limited,TEXTILE SPINNING
JLICL,Jubilee Life Insurance Company Limited,INSURANCE
JOPP,Johnson & Phillips (Pakistan) Limited,CABLE & ELECTRICAL GOODS
JOVC,Javed Omer Vohra & Company Limited,
JPGL,Japan Power Generation Limited,
JSBL,JS Bank Limited,COMMERCIAL BANKS
JSCL,Jahangir Siddiqui & Co. Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.
JSCLR1,Jahangi Sidd(R),
JSGCL,JS Global Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.
JSIL,JS Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.
JSML,Jauharabad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
