ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
CHCC,CHCC.KA,2528191000.0,50553551000.0,1257631000.0,0.0,672667000.0,37810806000.0,45044000.0,8681356000.0,32433670144.0,166.93,194295038.0,Cherat Cement Company Limited,2026-06-01T09:01:36.650326+00:00
CJPL,CJPL.KA,,,,0.0,,,0.0,,65587172.0,2.76,23763468.0,"CJPL.KA,0P0000ARYM,64986",2026-06-01T09:01:36.650326+00:00
CLCPS,CLCPS.KA,,,,0.0,,,0.0,,,1.54,,"CLCPS.KA,0P0000AH1V,344820",2026-06-01T09:01:36.650326+00:00
CLOUD,CLOUD.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
CLOV,CLOV.KA,,,,0.0,,,0.0,,16754966528.0,43.04,389288240.0,"CLOV.KA,0P0000BHE4,75049",2026-06-01T09:01:36.650326+00:00
CLVL,CLVL.KA,,,,0.0,,,0.0,,1168104320.0,16.2,72105200.0,"CLVL.KA,0P0000BIFP,544492",2026-06-01T09:01:36.650326+00:00
CNERGY,CNERGY.KA,14440000000.0,385850266000.0,5608672000.0,0.0,2401326000.0,240626169000.0,946573000.0,185437000.0,20435625984.0,3.72,5493447571.0,"CNERGY.KA,0P0000AN57,1980268",2026-06-01T09:01:36.650326+00:00
COLG,COLG.KA,528553000.0,56820747000.0,1612412000.0,0.0,4857989000.0,116000701000.0,656822000.0,18397273000.0,286479745024.0,1180.03,242773272.0,Colgate-Palmolive (Pakistan) Limited,2026-06-01T09:01:36.650326+00:00
COST,COST.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
COTT,COTT.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
CPAL,CPAL.KA,,,,0.0,,,0.0,,,,10744400.0,Capital Assets Leasing Corporation Limited,2026-06-01T09:01:36.650326+00:00
CPHL,CPHL.KA,,,,0.0,,,0.0,,6741890048.0,29.51,228461200.0,"CPHL.KA,0P0001MWFA,650942",2026-06-01T09:01:36.650326+00:00
CPPL,CPPL.KA,,,,0.0,,,0.0,,5695065600.0,116.0,49095393.0,Cherat Packaging Limited,2026-06-01T09:01:36.650326+00:00
CRTM,CRTM.KA,,,,0.0,,,0.0,,1350000000.0,13.5,100000000.0,The Crescent Textile Mills Limited,2026-06-01T09:01:36.650326+00:00
CSAP,CSAP.KA,157163000.0,11672263000.0,1472246000.0,0.0,336689000.0,8870148000.0,31860000.0,1271658000.0,4116074496.0,53.02,77632491.0,Crescent Steel and Allied Products Limited,2026-06-01T09:01:36.650326+00:00
CSIL,CSIL.KA,,,,0.0,,,0.0,,349456704.0,2.63,132873260.0,"CSIL.KA,0P0000BD02,260733",2026-06-01T09:01:36.650326+00:00
CSM,CSM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
CTM,CTM.KA,,,,0.0,,,0.0,,1424251264.0,2.86,497989959.0,"CTM.KA,0P00013OS0,56185",2026-06-01T09:01:36.650326+00:00
CWSM,CWSM.KA,,,,0.0,,,0.0,,4689193984.0,38.57,121576200.0,Quantum Data Technologies Limited,2026-06-01T09:01:36.650326+00:00
CYAN,CYAN.KA,,,,0.0,,,0.0,,1596843264.0,25.94,61559108.0,CYAN Ltd,2026-06-01T09:01:36.650326+00:00
DAAG,DAAG.KA,,,,0.0,,,0.0,,974920000.0,243.73,4000000.0,"DAAG.KA,0P0000AG7Z,108",2026-06-01T09:01:36.650326+00:00
DADX,DADX.KA,,,,0.0,,,0.0,,541319552.0,50.29,10763959.0,"DADX.KA,0P0000CCAG,153814",2026-06-01T09:01:36.650326+00:00
DATM,DATM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
DAWH,DAWH.KA,234355320000.0,1083347176000.0,71192485000.0,0.0,35592668000.0,598360012000.0,9063434000.0,55632618000.0,75898961920.0,157.7,481287008.0,Engro Holding Limited,2026-06-01T09:01:36.650326+00:00
DBCI,DBCI.KA,,253302000.0,,0.0,116939000.0,0.0,23411000.0,4873000.0,463676832.0,4.72,98236624.0,"DBCI.KA,0P0000AGO6,147101",2026-06-01T09:01:36.650326+00:00
DBSL,DBSL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
